Variable,F,p,eta2,sig,Korean_mean,Chinese_mean,Other_mean,Korean_v_Chinese,Korean_v_Other,Chinese_v_Other
age,26.27,0.0,0.0052,***,46.5852,47.6917,45.119,0.0005,0.0,0.0
BMI,681.37,0.0,0.12,***,23.8196,24.6087,27.4101,0.0,0.0,0.0
fasting_glucose,63.88,0.0,0.0126,***,95.2013,98.3276,99.5544,0.0,0.0,0.2557
HbA1c,38.14,0.0,0.0076,***,5.5588,5.6629,5.6048,0.0,0.0079,0.0009
HOMA_IR,355.76,0.0,0.0664,***,2.0266,2.3624,2.9745,0.0,0.0,0.0
systolic_BP,135.31,0.0,0.0264,***,122.3136,128.585,124.9726,0.0,0.0,0.0
triglycerides,142.38,0.0,0.0277,***,131.6169,156.6062,148.7452,0.0,0.0,0.0018
HDL,175.21,0.0,0.0339,***,51.9722,48.6329,46.279,0.0,0.0,0.0
stress_score_PSS,658.08,0.0,0.1163,***,21.7748,19.0579,16.0314,0.0,0.0,0.0
physical_activity_MET,391.86,0.0,0.0727,***,18.5989,22.1684,28.2236,0.0,0.0,0.0
sleep_hours,137.36,0.0,0.0267,***,6.3056,6.4713,6.792,0.0,0.0,0.0
depression_score_PHQ9,250.62,0.0,0.0477,***,7.1902,5.6255,5.2992,0.0,0.0,0.0058
